产品类别,销售数量,单价,客户所在城市,支付方式,订单日期,销售金额
家居用品,10,299,福州,支付宝,2025-07-07,2990
家居用品,8,3999,郑州,银行卡,2025-07-07,31992
食品,5,49,昆明,微信支付,2025-07-07,245
家居用品,8,39,广州,支付宝,2025-07-07,312
家居用品,6,3999,南京,支付宝,2025-07-08,23994
食品,2,19,武汉,微信支付,2025-07-08,38
图书,6,59,苏州,微信支付,2025-07-09,354
电子产品,7,2999,青岛,支付宝,2025-07-09,20993
电子产品,10,2999,南京,微信支付,2025-07-09,29990
食品,2,129,上海,微信支付,2025-07-09,258
家居用品,10,39,宁波,银行卡,2025-07-09,390
服装,8,299,天津,支付宝,2025-07-10,2392
服装,6,399,成都,支付宝,2025-07-11,2394
家居用品,8,29,成都,银行卡,2025-07-11,232
家居用品,3,5999,合肥,银行卡,2025-07-12,17997
电子产品,2,199,重庆,支付宝,2025-07-12,398
食品,7,39,福州,微信支付,2025-07-13,273
食品,8,49,杭州,微信支付,2025-07-13,392
服装,3,29,昆明,银行卡,2025-07-13,87
服装,2,399,西安,银行卡,2025-07-13,798
服装,7,449,北京,微信支付,2025-07-14,3143
食品,6,39,青岛,支付宝,2025-07-14,234
食品,3,59,天津,微信支付,2025-07-15,177
图书,8,59,天津,微信支付,2025-07-15,472
服装,5,89,南京,支付宝,2025-07-15,445
食品,8,129,长沙,支付宝,2025-07-15,1032
图书,2,69,郑州,银行卡,2025-07-15,138
图书,5,39,西安,支付宝,2025-07-16,195
家居用品,3,399,北京,银行卡,2025-07-16,1197
电子产品,4,299,长沙,支付宝,2025-07-17,1196
服装,7,59,武汉,银行卡,2025-07-17,413
食品,4,89,深圳,银行卡,2025-07-17,356
家居用品,7,99,上海,支付宝,2025-07-18,693
家居用品,1,3999,广州,支付宝,2025-07-18,3999
服装,1,449,深圳,微信支付,2025-07-18,449
家居用品,2,399,上海,银行卡,2025-07-18,798
图书,5,129,杭州,支付宝,2025-07-19,645
食品,5,49,南京,支付宝,2025-07-19,245
服装,8,299,苏州,微信支付,2025-07-19,2392
服装,1,599,西安,支付宝,2025-07-19,599
食品,5,129,南京,银行卡,2025-07-19,645
家居用品,8,299,宁波,银行卡,2025-07-20,2392
家居用品,10,79,武汉,银行卡,2025-07-20,790
电子产品,9,29,重庆,银行卡,2025-07-21,261
服装,7,299,杭州,微信支付,2025-07-21,2093
服装,8,249,上海,支付宝,2025-07-21,1992
电子产品,7,299,苏州,微信支付,2025-07-21,2093
电子产品,1,59,北京,微信支付,2025-07-22,59
家居用品,5,49,青岛,微信支付,2025-07-23,245
家居用品,2,49,广州,微信支付,2025-07-23,98
家居用品,5,49,苏州,支付宝,2025-07-24,245
图书,8,29,天津,支付宝,2025-07-24,232
电子产品,2,29,上海,支付宝,2025-07-24,58
食品,1,69,郑州,支付宝,2025-07-25,69
电子产品,3,299,合肥,微信支付,2025-07-25,897
服装,2,449,合肥,微信支付,2025-07-25,898
服装,5,29,西安,支付宝,2025-07-25,145
服装,1,449,郑州,微信支付,2025-07-25,449
图书,2,99,宁波,支付宝,2025-07-25,198
图书,6,29,昆明,支付宝,2025-07-26,174
服装,9,399,深圳,银行卡,2025-07-26,3591
家居用品,9,79,重庆,微信支付,2025-07-26,711
服装,5,499,上海,微信支付,2025-07-26,2495
图书,2,39,重庆,微信支付,2025-07-27,78
食品,2,199,深圳,支付宝,2025-07-27,398
电子产品,5,49,武汉,微信支付,2025-07-28,245
电子产品,10,2499,福州,支付宝,2025-07-29,24990
服装,2,149,南京,支付宝,2025-07-29,298
图书,2,49,福州,银行卡,2025-07-30,98
电子产品,10,5999,昆明,微信支付,2025-07-30,59990
家居用品,9,5999,长沙,支付宝,2025-07-30,53991
家居用品,1,399,上海,支付宝,2025-07-30,399
家居用品,1,199,上海,支付宝,2025-07-30,199
图书,8,129,上海,支付宝,2025-07-31,1032
电子产品,6,49,北京,银行卡,2025-07-31,294
食品,10,59,广州,支付宝,2025-07-31,590
家居用品,6,199,厦门,支付宝,2025-08-01,1194
家居用品,8,39,厦门,支付宝,2025-08-01,312
食品,10,29,武汉,银行卡,2025-08-01,290
电子产品,5,1299,青岛,银行卡,2025-08-03,6495
服装,8,149,郑州,支付宝,2025-08-03,1192
服装,5,299,合肥,支付宝,2025-08-03,1495
家居用品,5,49,杭州,支付宝,2025-08-03,245
图书,10,39,深圳,微信支付,2025-08-03,390
食品,10,69,郑州,银行卡,2025-08-04,690
食品,1,69,北京,微信支付,2025-08-04,69
家居用品,8,49,昆明,微信支付,2025-08-04,392
食品,6,29,苏州,银行卡,2025-08-04,174
食品,3,89,苏州,银行卡,2025-08-04,267
食品,10,39,宁波,支付宝,2025-08-04,390
服装,4,149,福州,银行卡,2025-08-04,596
电子产品,5,399,广州,支付宝,2025-08-05,1995
家居用品,6,49,宁波,微信支付,2025-08-05,294
家居用品,6,199,郑州,微信支付,2025-08-05,1194
家居用品,6,199,宁波,支付宝,2025-08-06,1194
家居用品,8,5999,南京,微信支付,2025-08-06,47992
电子产品,5,39,郑州,支付宝,2025-08-06,195
食品,10,29,重庆,支付宝,2025-08-07,290
家居用品,1,79,重庆,银行卡,2025-08-08,79
家居用品,2,3999,天津,银行卡,2025-08-08,7998
食品,10,79,深圳,银行卡,2025-08-09,790
家居用品,4,5999,苏州,银行卡,2025-08-09,23996
图书,10,69,南京,银行卡,2025-08-09,690
电子产品,3,2999,合肥,支付宝,2025-08-10,8997
家居用品,6,49,重庆,支付宝,2025-08-10,294
图书,5,49,福州,支付宝,2025-08-11,245
食品,6,39,合肥,微信支付,2025-08-11,234
电子产品,1,39,长沙,支付宝,2025-08-11,39
电子产品,2,2499,深圳,微信支付,2025-08-12,4998
图书,3,49,南京,微信支付,2025-08-12,147
电子产品,8,199,深圳,支付宝,2025-08-12,1592
食品,10,49,厦门,银行卡,2025-08-12,490
食品,5,59,天津,支付宝,2025-08-12,295
家居用品,5,39,苏州,微信支付,2025-08-12,195
食品,4,59,重庆,微信支付,2025-08-13,236
家居用品,8,49,福州,支付宝,2025-08-13,392
图书,5,89,广州,支付宝,2025-08-14,445
家居用品,1,89,昆明,银行卡,2025-08-14,89
食品,7,89,深圳,银行卡,2025-08-14,623
家居用品,4,39,青岛,银行卡,2025-08-14,156
食品,2,49,南京,支付宝,2025-08-15,98
食品,7,49,杭州,支付宝,2025-08-16,343
电子产品,2,299,昆明,银行卡,2025-08-16,598
家居用品,4,39,北京,微信支付,2025-08-16,156
食品,5,199,武汉,支付宝,2025-08-16,995
食品,2,89,福州,银行卡,2025-08-16,178
服装,3,199,郑州,银行卡,2025-08-17,597
食品,4,79,宁波,银行卡,2025-08-17,316
电子产品,7,299,杭州,银行卡,2025-08-17,2093
家居用品,10,49,昆明,微信支付,2025-08-18,490
图书,7,99,天津,微信支付,2025-08-18,693
电子产品,9,39,青岛,微信支付,2025-08-18,351
图书,7,129,苏州,银行卡,2025-08-18,903
服装,8,299,合肥,支付宝,2025-08-19,2392
服装,5,299,杭州,微信支付,2025-08-19,1495
食品,4,39,广州,银行卡,2025-08-19,156
家居用品,9,3999,青岛,微信支付,2025-08-19,35991
食品,10,29,杭州,银行卡,2025-08-19,290
食品,6,29,深圳,银行卡,2025-08-19,174
电子产品,4,299,厦门,支付宝,2025-08-20,1196
图书,7,49,天津,微信支付,2025-08-20,343
电子产品,10,899,广州,微信支付,2025-08-21,8990
食品,1,29,武汉,微信支付,2025-08-21,29
食品,1,19,武汉,支付宝,2025-08-22,19
图书,9,39,合肥,银行卡,2025-08-22,351
家居用品,2,49,郑州,支付宝,2025-08-22,98
电子产品,7,129,福州,支付宝,2025-08-23,903
电子产品,9,49,南京,微信支付,2025-08-23,441
食品,2,49,长沙,支付宝,2025-08-23,98
服装,1,699,合肥,微信支付,2025-08-24,699
服装,2,449,合肥,微信支付,2025-08-24,898
电子产品,2,199,成都,支付宝,2025-08-24,398
图书,8,39,昆明,银行卡,2025-08-24,312
食品,3,69,广州,支付宝,2025-08-24,207
家居用品,10,199,武汉,支付宝,2025-08-25,1990
电子产品,4,149,厦门,支付宝,2025-08-25,596
图书,7,29,天津,银行卡,2025-08-25,203
食品,2,89,重庆,支付宝,2025-08-25,178
食品,7,19,北京,支付宝,2025-08-25,133
服装,9,449,昆明,微信支付,2025-08-25,4041
图书,6,49,昆明,银行卡,2025-08-26,294
家居用品,2,49,天津,微信支付,2025-08-26,98
图书,7,29,武汉,银行卡,2025-08-27,203
家居用品,7,399,苏州,支付宝,2025-08-27,2793
图书,8,49,南京,微信支付,2025-08-27,392
食品,1,49,北京,支付宝,2025-08-27,49
家居用品,7,99,青岛,支付宝,2025-08-28,693
图书,3,79,厦门,支付宝,2025-08-28,237
食品,3,89,青岛,支付宝,2025-08-29,267
食品,8,29,成都,支付宝,2025-08-29,232
图书,4,99,长沙,微信支付,2025-08-29,396
家居用品,2,299,苏州,支付宝,2025-08-29,598
图书,8,39,杭州,支付宝,2025-08-29,312
服装,4,399,昆明,支付宝,2025-08-30,1596
家居用品,5,299,广州,银行卡,2025-08-30,1495
电子产品,10,199,杭州,支付宝,2025-08-30,1990
食品,10,79,宁波,支付宝,2025-08-30,790
电子产品,9,899,深圳,支付宝,2025-08-31,8091
食品,5,49,厦门,支付宝,2025-08-31,245
食品,10,69,厦门,微信支付,2025-08-31,690
图书,5,99,长沙,微信支付,2025-08-31,495
图书,9,89,福州,微信支付,2025-09-01,801
图书,6,69,广州,银行卡,2025-09-01,414
服装,5,129,杭州,银行卡,2025-09-01,645
食品,9,49,重庆,银行卡,2025-09-01,441
食品,3,79,上海,支付宝,2025-09-01,237
家居用品,7,49,郑州,微信支付,2025-09-02,343
电子产品,8,199,上海,银行卡,2025-09-02,1592
服装,9,499,武汉,支付宝,2025-09-02,4491
服装,5,699,厦门,微信支付,2025-09-03,3495
食品,5,29,北京,微信支付,2025-09-03,145
家居用品,8,59,杭州,银行卡,2025-09-03,472
图书,6,39,昆明,支付宝,2025-09-03,234
图书,5,49,广州,银行卡,2025-09-04,245
图书,9,29,南京,支付宝,2025-09-04,261
电子产品,7,149,宁波,支付宝,2025-09-04,1043
家居用品,9,59,青岛,银行卡,2025-09-04,531
食品,1,89,郑州,微信支付,2025-09-06,89
图书,2,59,北京,微信支付,2025-09-06,118
食品,8,39,厦门,微信支付,2025-09-06,312
图书,1,29,成都,支付宝,2025-09-06,29
食品,6,39,郑州,银行卡,2025-09-07,234
家居用品,2,79,武汉,微信支付,2025-09-07,158
食品,4,59,广州,银行卡,2025-09-08,236
图书,10,129,杭州,微信支付,2025-09-08,1290
食品,5,59,成都,支付宝,2025-09-08,295
服装,10,199,西安,支付宝,2025-09-08,1990
图书,3,99,宁波,支付宝,2025-09-09,297
家居用品,2,59,广州,微信支付,2025-09-09,118
电子产品,5,5999,广州,银行卡,2025-09-09,29995
家居用品,8,3999,武汉,支付宝,2025-09-09,31992
家居用品,3,99,杭州,支付宝,2025-09-09,297
食品,2,59,青岛,银行卡,2025-09-10,118
电子产品,2,299,昆明,银行卡,2025-09-10,598
电子产品,1,89,苏州,支付宝,2025-09-10,89
家居用品,4,299,深圳,支付宝,2025-09-10,1196
食品,7,69,郑州,支付宝,2025-09-11,483
服装,5,59,北京,支付宝,2025-09-11,295
家居用品,4,79,武汉,支付宝,2025-09-12,316
家居用品,6,199,重庆,支付宝,2025-09-12,1194
服装,1,699,广州,微信支付,2025-09-13,699
食品,9,29,南京,支付宝,2025-09-13,261
食品,10,69,成都,支付宝,2025-09-13,690
食品,6,39,长沙,银行卡,2025-09-13,234
电子产品,10,59,宁波,银行卡,2025-09-14,590
图书,10,59,武汉,支付宝,2025-09-14,590
家居用品,3,49,郑州,微信支付,2025-09-14,147
电子产品,1,29,天津,微信支付,2025-09-14,29
家居用品,4,5999,宁波,微信支付,2025-09-15,23996
电子产品,9,2499,青岛,微信支付,2025-09-15,22491
电子产品,5,2999,武汉,支付宝,2025-09-16,14995
图书,6,99,上海,银行卡,2025-09-16,594
家居用品,2,89,上海,支付宝,2025-09-16,178
电子产品,3,149,长沙,支付宝,2025-09-16,447
电子产品,7,149,昆明,支付宝,2025-09-17,1043
服装,7,349,天津,银行卡,2025-09-17,2443
电子产品,2,149,成都,银行卡,2025-09-18,298
电子产品,1,29,南京,银行卡,2025-09-19,29
图书,9,59,昆明,银行卡,2025-09-19,531
电子产品,9,49,重庆,微信支付,2025-09-19,441
服装,3,149,广州,微信支付,2025-09-19,447
家居用品,3,49,杭州,支付宝,2025-09-19,147
服装,6,59,重庆,微信支付,2025-09-20,354
食品,4,89,重庆,银行卡,2025-09-20,356
食品,1,79,深圳,支付宝,2025-09-20,79
食品,6,89,合肥,银行卡,2025-09-20,534
电子产品,9,299,西安,支付宝,2025-09-21,2691
食品,9,199,郑州,微信支付,2025-09-21,1791
电子产品,3,899,宁波,支付宝,2025-09-22,2697
图书,2,69,上海,银行卡,2025-09-22,138
家居用品,9,399,郑州,微信支付,2025-09-22,3591
图书,3,59,青岛,支付宝,2025-09-23,177
服装,10,349,郑州,微信支付,2025-09-24,3490
图书,7,129,青岛,支付宝,2025-09-24,903
家居用品,2,3999,青岛,微信支付,2025-09-25,7998
电子产品,10,5999,重庆,支付宝,2025-09-26,59990
电子产品,9,49,郑州,银行卡,2025-09-26,441
图书,9,49,天津,微信支付,2025-09-26,441
服装,9,349,广州,支付宝,2025-09-26,3141
图书,7,99,苏州,微信支付,2025-09-26,693
图书,3,89,北京,银行卡,2025-09-26,267
电子产品,4,1299,长沙,银行卡,2025-09-26,5196
电子产品,9,2499,深圳,支付宝,2025-09-27,22491
食品,8,29,上海,银行卡,2025-09-27,232
图书,3,49,福州,支付宝,2025-09-28,147
服装,1,89,合肥,微信支付,2025-09-29,89
家居用品,9,299,武汉,微信支付,2025-09-29,2691
图书,7,89,合肥,微信支付,2025-09-30,623
食品,5,129,苏州,银行卡,2025-10-01,645
电子产品,9,2999,西安,支付宝,2025-10-01,26991
家居用品,6,49,杭州,支付宝,2025-10-02,294
家居用品,6,199,宁波,微信支付,2025-10-02,1194
电子产品,9,299,宁波,银行卡,2025-10-02,2691
电子产品,7,399,厦门,支付宝,2025-10-02,2793
服装,1,249,厦门,银行卡,2025-10-02,249
图书,6,89,福州,银行卡,2025-10-02,534
食品,5,39,杭州,微信支付,2025-10-03,195
电子产品,10,299,深圳,支付宝,2025-10-03,2990
图书,10,49,宁波,银行卡,2025-10-03,490
电子产品,1,1299,青岛,支付宝,2025-10-04,1299
家居用品,3,199,昆明,支付宝,2025-10-04,597
服装,9,899,深圳,微信支付,2025-10-04,8091
图书,1,49,西安,银行卡,2025-10-04,49
服装,1,699,苏州,支付宝,2025-10-04,699
家居用品,6,299,郑州,银行卡,2025-10-05,1794
服装,7,349,南京,微信支付,2025-10-05,2443
食品,10,49,青岛,支付宝,2025-10-05,490
服装,4,199,宁波,支付宝,2025-10-05,796
电子产品,3,1299,厦门,微信支付,2025-10-05,3897
食品,7,39,南京,支付宝,2025-10-05,273
电子产品,2,249,苏州,支付宝,2025-10-06,498
电子产品,8,199,西安,支付宝,2025-10-06,1592
电子产品,8,199,南京,支付宝,2025-10-06,1592
图书,9,79,西安,支付宝,2025-10-06,711
图书,2,29,昆明,银行卡,2025-10-06,58
图书,7,39,天津,微信支付,2025-10-07,273
图书,7,99,杭州,银行卡,2025-10-07,693
电子产品,8,299,广州,支付宝,2025-10-07,2392
电子产品,10,59,天津,银行卡,2025-10-07,590
食品,10,199,郑州,支付宝,2025-10-08,1990
食品,5,29,昆明,银行卡,2025-10-08,145
图书,3,29,厦门,支付宝,2025-10-08,87
食品,10,49,天津,支付宝,2025-10-08,490
服装,5,299,昆明,银行卡,2025-10-09,1495
食品,10,129,昆明,银行卡,2025-10-11,1290
图书,2,59,福州,支付宝,2025-10-12,118
服装,3,149,长沙,支付宝,2025-10-12,447
家居用品,3,399,深圳,银行卡,2025-10-12,1197
图书,1,69,福州,银行卡,2025-10-12,69
电子产品,10,1299,昆明,支付宝,2025-10-12,12990
图书,9,59,天津,银行卡,2025-10-12,531
家居用品,5,399,成都,微信支付,2025-10-13,1995
服装,4,349,天津,支付宝,2025-10-13,1396
电子产品,7,89,合肥,银行卡,2025-10-13,623
食品,3,59,郑州,银行卡,2025-10-14,177
食品,5,49,天津,支付宝,2025-10-14,245
图书,4,49,合肥,微信支付,2025-10-14,196
家居用品,4,39,厦门,支付宝,2025-10-14,156
家居用品,3,39,成都,微信支付,2025-10-14,117
电子产品,9,149,重庆,支付宝,2025-10-15,1341
家居用品,4,59,成都,支付宝,2025-10-15,236
服装,5,399,上海,微信支付,2025-10-15,1995
食品,10,39,宁波,银行卡,2025-10-15,390
电子产品,2,149,天津,银行卡,2025-10-16,298
服装,5,399,合肥,银行卡,2025-10-17,1995
电子产品,8,39,杭州,支付宝,2025-10-17,312
家居用品,10,199,福州,支付宝,2025-10-17,1990
服装,10,699,苏州,支付宝,2025-10-18,6990
图书,4,69,南京,支付宝,2025-10-18,276
食品,4,89,杭州,微信支付,2025-10-18,356
家居用品,3,399,合肥,支付宝,2025-10-18,1197
食品,8,69,厦门,银行卡,2025-10-18,552
电子产品,1,89,上海,微信支付,2025-10-19,89
电子产品,5,129,苏州,支付宝,2025-10-19,645
电子产品,9,149,昆明,支付宝,2025-10-19,1341
电子产品,4,199,苏州,银行卡,2025-10-19,796
家居用品,10,49,苏州,支付宝,2025-10-19,490
服装,6,899,杭州,微信支付,2025-10-20,5394
图书,9,89,昆明,银行卡,2025-10-20,801
食品,5,29,重庆,支付宝,2025-10-20,145
电子产品,1,2499,广州,支付宝,2025-10-21,2499
图书,5,89,宁波,微信支付,2025-10-21,445
家居用品,7,199,郑州,微信支付,2025-10-21,1393
食品,7,29,宁波,支付宝,2025-10-21,203
食品,7,89,重庆,微信支付,2025-10-22,623
图书,10,29,成都,支付宝,2025-10-22,290
家居用品,3,39,长沙,银行卡,2025-10-22,117
电子产品,1,199,成都,微信支付,2025-10-24,199
家居用品,9,39,上海,支付宝,2025-10-24,351
电子产品,2,2499,上海,支付宝,2025-10-24,4998
电子产品,4,399,合肥,微信支付,2025-10-25,1596
食品,9,39,天津,支付宝,2025-10-25,351
图书,2,59,昆明,微信支付,2025-10-26,118
家居用品,3,39,重庆,支付宝,2025-10-27,117
电子产品,6,1299,重庆,银行卡,2025-10-27,7794
电子产品,10,399,郑州,支付宝,2025-10-27,3990
图书,8,49,长沙,银行卡,2025-10-27,392
家居用品,5,39,青岛,银行卡,2025-10-28,195
图书,7,99,天津,支付宝,2025-10-28,693
家居用品,2,49,长沙,支付宝,2025-10-28,98
图书,10,29,西安,支付宝,2025-10-28,290
家居用品,1,3999,广州,微信支付,2025-10-28,3999
家居用品,7,89,宁波,支付宝,2025-10-29,623
服装,3,89,昆明,微信支付,2025-10-29,267
图书,6,99,上海,微信支付,2025-10-29,594
服装,8,399,福州,支付宝,2025-10-29,3192
图书,6,29,重庆,银行卡,2025-10-29,174
食品,6,49,宁波,支付宝,2025-10-30,294
图书,2,59,昆明,银行卡,2025-10-31,118
图书,5,49,天津,微信支付,2025-10-31,245
电子产品,2,2999,青岛,支付宝,2025-11-01,5998
服装,6,699,北京,支付宝,2025-11-01,4194
图书,10,29,宁波,支付宝,2025-11-01,290
服装,3,199,昆明,微信支付,2025-11-01,597
电子产品,6,129,深圳,支付宝,2025-11-01,774
电子产品,1,199,南京,银行卡,2025-11-02,199
图书,6,39,西安,支付宝,2025-11-02,234
图书,10,59,成都,支付宝,2025-11-02,590
图书,9,89,广州,支付宝,2025-11-03,801
食品,2,59,上海,支付宝,2025-11-03,118
家居用品,8,399,长沙,支付宝,2025-11-03,3192
食品,3,39,广州,支付宝,2025-11-03,117
图书,8,79,青岛,银行卡,2025-11-03,632
服装,4,499,苏州,银行卡,2025-11-04,1996
家居用品,10,79,西安,支付宝,2025-11-04,790
图书,5,69,重庆,银行卡,2025-11-04,345
食品,6,49,南京,支付宝,2025-11-04,294
家居用品,5,49,长沙,银行卡,2025-11-04,245
图书,7,39,宁波,银行卡,2025-11-05,273
家居用品,5,79,重庆,支付宝,2025-11-05,395
家居用品,8,29,合肥,支付宝,2025-11-05,232
服装,9,299,天津,银行卡,2025-11-05,2691
服装,6,899,宁波,支付宝,2025-11-05,5394
家居用品,1,399,西安,微信支付,2025-11-05,399
家居用品,1,89,天津,银行卡,2025-11-05,89
电子产品,5,89,深圳,银行卡,2025-11-06,445
服装,6,299,广州,微信支付,2025-11-06,1794
家居用品,6,99,郑州,支付宝,2025-11-07,594
食品,2,29,青岛,支付宝,2025-11-07,58
食品,3,39,广州,微信支付,2025-11-07,117
家居用品,5,39,长沙,支付宝,2025-11-07,195
服装,4,349,郑州,银行卡,2025-11-08,1396
图书,8,29,杭州,微信支付,2025-11-08,232
图书,8,79,福州,微信支付,2025-11-08,632
服装,4,89,重庆,银行卡,2025-11-08,356
图书,5,79,南京,微信支付,2025-11-08,395
